Word,fq_No,prob_no,fq_Yes,prob_yes,fq_total
ก๋วยเตี๋ยว,43,0.000139249,0,2.66655E-06,43
กวาดล้าง,0,3.16475E-06,11,3.19985E-05,11
กษัตริย์,157,0.00050003,127,0.000341318,284
กษัย,23,7.59539E-05,0,2.66655E-06,23
กห,0,3.16475E-06,13,3.73316E-05,13
กอ,11,3.7977E-05,27,7.46633E-05,38
ก่อ,14,4.74712E-05,49,0.000133327,63
ก้อ,115,0.000367111,26,7.19967E-05,141
กอ.รมน.,0,3.16475E-06,55,0.000149327,55
กอง,22,7.27892E-05,81,0.000218657,103
กองกำลัง,0,3.16475E-06,191,0.000511977,191
กองเชียร์,0,3.16475E-06,13,3.73316E-05,13
กองทัพ,0,3.16475E-06,969,0.002586549,969
กองทัพบก,0,3.16475E-06,1774,0.004733119,1774
กองทัพเรือ,0,3.16475E-06,44,0.000119995,44
กองทัพอากาศ,0,3.16475E-06,31,8.53295E-05,31
กองบัญชาการ,0,3.16475E-06,24,6.66636E-05,24
กองพล,0,3.16475E-06,148,0.000397315,148
กองพัน,0,3.16475E-06,202,0.000541309,202
กองร้อย,0,3.16475E-06,83,0.00022399,83
กอด,127,0.000405088,19,5.33309E-05,146
ก้อน,22,7.27892E-05,0,2.66655E-06,22
ก่อนที่,0,3.16475E-06,16,4.53313E-05,16
กอล์ฟ,0,3.16475E-06,17,4.79978E-05,17
ก่อสร้าง,0,3.16475E-06,17,4.79978E-05,17
ก่อเหตุ,0,3.16475E-06,37,0.000101329,37
กะ,210,0.000667762,41,0.000111995,251
กะทะ,13,4.43065E-05,0,2.66655E-06,13
กะเทย,0,3.16475E-06,13,3.73316E-05,13
กะปิ,11,3.7977E-05,0,2.66655E-06,11
กะลา,0,3.16475E-06,20,5.59975E-05,20
กัซ,22,7.27892E-05,0,2.66655E-06,22
กัญชา,0,3.16475E-06,47,0.000127994,47
กัด,23,7.59539E-05,36,9.86622E-05,59
กันแดด,11,3.7977E-05,0,2.66655E-06,11
กันต์,74,0.000237356,14,3.99982E-05,88
กันที่,13,4.43065E-05,17,4.79978E-05,30
กัมพูชา,0,3.16475E-06,18,5.06644E-05,18
กา,137,0.000436735,112,0.00030132,249
ก้า,11,3.7977E-05,0,2.66655E-06,11
กาก,0,3.16475E-06,22,6.13306E-05,22
กางเกง,35,0.000113931,0,2.66655E-06,35
กางเกงใน,12,4.11417E-05,0,2.66655E-06,12
ก้างปลา,28,9.17777E-05,0,2.66655E-06,28
กาญจนบุรี,107,0.000341793,0,2.66655E-06,107
กาด,13,4.43065E-05,0,2.66655E-06,13
ก้าน,10,3.48122E-05,0,2.66655E-06,10
กาแฟ,55,0.000177226,0,2.66655E-06,55
กาย,17,5.69655E-05,23,6.39971E-05,40
การกระทำ,15,5.0636E-05,30,8.26629E-05,45
การเกษตร,0,3.16475E-06,16,4.53313E-05,16
การแก้ปัญหา,0,3.16475E-06,11,3.19985E-05,11
การแข่งขัน,0,3.16475E-06,12,3.46651E-05,12
การควบคุม,0,3.16475E-06,11,3.19985E-05,11
การค้า,0,3.16475E-06,12,3.46651E-05,12
การงาน,10,3.48122E-05,0,2.66655E-06,10
การจราจร,0,3.16475E-06,12,3.46651E-05,12
การแจกจ่าย,0,3.16475E-06,28,7.73298E-05,28
การซ่อมแซม,0,3.16475E-06,10,2.9332E-05,10
การ์ด,45,0.000145578,0,2.66655E-06,45
การดับ,0,3.16475E-06,37,0.000101329,37
การตัดสินใจ,0,3.16475E-06,18,5.06644E-05,18
การตาม,0,3.16475E-06,11,3.19985E-05,11
การถ่ายภาพ,0,3.16475E-06,10,2.9332E-05,10
การแถลงข่าว,0,3.16475E-06,18,5.06644E-05,18
การทหาร,0,3.16475E-06,38,0.000103995,38
การท่องเที่ยว,0,3.16475E-06,20,5.59975E-05,20
การทำงาน,10,3.48122E-05,41,0.000111995,51
การนำ,0,3.16475E-06,18,5.06644E-05,18
การบริหาร,0,3.16475E-06,28,7.73298E-05,28
การปกครอง,0,3.16475E-06,21,5.8664E-05,21
การปฏิบัติ,0,3.16475E-06,35,9.59956E-05,35
การปฏิรูป,0,3.16475E-06,18,5.06644E-05,18
การประชุม,0,3.16475E-06,49,0.000133327,49
การประปาส่วนภูมิภาค,0,3.16475E-06,19,5.33309E-05,19
การป้องกัน,0,3.16475E-06,96,0.000258655,96
การปิดบัง,0,3.16475E-06,12,3.46651E-05,12
การเปลี่ยนแปลง,0,3.16475E-06,17,4.79978E-05,17
การพัฒนา,0,3.16475E-06,47,0.000127994,47
การไฟฟ้าส่วนภูมิภาค,0,3.16475E-06,40,0.000109328,40
การเมือง,12,4.11417E-05,126,0.000338651,138
การรักษา,0,3.16475E-06,17,4.79978E-05,17
การรัฐประหาร,0,3.16475E-06,20,5.59975E-05,20
การเลือกตั้ง,0,3.16475E-06,32,8.7996E-05,32
การศึกษา,27,8.86129E-05,38,0.000103995,65
การสงคราม,0,3.16475E-06,34,9.33291E-05,34
การสื่อสาร,0,3.16475E-06,11,3.19985E-05,11
การแสดง,12,4.11417E-05,22,6.13306E-05,34
การแสดงออก,0,3.16475E-06,23,6.39971E-05,23
ก้าว,28,9.17777E-05,32,8.7996E-05,60
กำ,18,6.01302E-05,62,0.000167992,80
กำกับ,0,3.16475E-06,12,3.46651E-05,12
กำจัด,0,3.16475E-06,36,9.86622E-05,36
กำชับ,0,3.16475E-06,26,7.19967E-05,26
กำนัน,0,3.16475E-06,15,4.26647E-05,15
กำแพง,14,4.74712E-05,22,6.13306E-05,36
กำแพงเพชร,22,7.27892E-05,0,2.66655E-06,22
กำลังใจ,71,0.000227862,1036,0.002765208,1107
กำลังดี,14,4.74712E-05,0,2.66655E-06,14
กิ,17,5.69655E-05,27,7.46633E-05,44
กิ๊ก,18,6.01302E-05,0,2.66655E-06,18
กิ่ง,12,4.11417E-05,0,2.66655E-06,12
กิจ,0,3.16475E-06,38,0.000103995,38
กิจกรรม,49,0.000158237,213,0.000570641,262
กิจการ,0,3.16475E-06,44,0.000119995,44
กิตติ,0,3.16475E-06,29,7.99964E-05,29
กิน,576,0.001826059,84,0.000226656,660
กินข้าว,55,0.000177226,10,2.9332E-05,65
กิโลกรัม,0,3.16475E-06,58,0.000157326,58
กิ่ว,0,3.16475E-06,13,3.73316E-05,13
กี,10,3.48122E-05,0,2.66655E-06,10
กี่,109,0.000348122,36,9.86622E-05,145
กี้,48,0.000155073,0,2.66655E-06,48
กี๊,10,3.48122E-05,0,2.66655E-06,10
กีฬา,12,4.11417E-05,43,0.000117328,55
กุ,338,0.001072849,0,2.66655E-06,338
กุก,26,8.54482E-05,0,2.66655E-06,26
กุ้ง,30,9.81072E-05,0,2.66655E-06,30
กุมภา,0,3.16475E-06,10,2.9332E-05,10
กุล,0,3.16475E-06,67,0.000181325,67
กุศล,0,3.16475E-06,13,3.73316E-05,13
กู้,14,4.74712E-05,53,0.000143993,67
กู้เงิน,0,3.16475E-06,51,0.00013866,51
เก,54,0.000174061,23,6.39971E-05,77
เก้,17,5.69655E-05,0,2.66655E-06,17
เก๋,17,5.69655E-05,0,2.66655E-06,17
เก่ง,244,0.000775363,94,0.000253322,338
เกณฑ์,0,3.16475E-06,11,3.19985E-05,11
เกณฑ์ทหาร,0,3.16475E-06,25,6.93302E-05,25
เกม,16,5.38007E-05,44,0.000119995,60
เกมส์,12,4.11417E-05,0,2.66655E-06,12
เกย์,47,0.000151908,0,2.66655E-06,47
เกร็ด,22,7.27892E-05,0,2.66655E-06,22
เกรี้ยวกราด,0,3.16475E-06,10,2.9332E-05,10
เกล้า,17,5.69655E-05,0,2.66655E-06,17
เกลียด,49,0.000158237,29,7.99964E-05,78
เกษตร,17,5.69655E-05,36,9.86622E-05,53
เกษตรกร,0,3.16475E-06,14,3.99982E-05,14
เกษม,0,3.16475E-06,24,6.66636E-05,24
เกษียณ,0,3.16475E-06,61,0.000165326,61
เกษียร,0,3.16475E-06,37,0.000101329,37
เกา,30,9.81072E-05,0,2.66655E-06,30
เก่า,58,0.00018672,22,6.13306E-05,80
เก้า,16,5.38007E-05,0,2.66655E-06,16
เกาหลี,69,0.000221532,20,5.59975E-05,89
เกาหลีใต้,0,3.16475E-06,22,6.13306E-05,22
เก้าอี้,0,3.16475E-06,13,3.73316E-05,13
เกาะ,51,0.000164567,18,5.06644E-05,69
เกาะติด,0,3.16475E-06,12,3.46651E-05,12
เกิดขึ้น,18,6.01302E-05,114,0.000306653,132
เกิดผล,0,3.16475E-06,12,3.46651E-05,12
เกิดเหตุ,0,3.16475E-06,27,7.46633E-05,27
เกินไป,43,0.000139249,17,4.79978E-05,60
เกีย,24,7.91187E-05,0,2.66655E-06,24
เกียรติ,0,3.16475E-06,61,0.000165326,61
เกียรติคุณ,0,3.16475E-06,34,9.33291E-05,34
เกี่ยว,0,3.16475E-06,33,9.06626E-05,33
แก้,62,0.000199379,64,0.000173325,126
แก้ไขปัญหา,0,3.16475E-06,117,0.000314652,117
แกง,33,0.000107601,0,2.66655E-06,33
แก๊ง,26,8.54482E-05,28,7.73298E-05,54
แก๊งค์,10,3.48122E-05,0,2.66655E-06,10
แก้ปัญหา,0,3.16475E-06,115,0.000309319,115
แก้ม,43,0.000139249,0,2.66655E-06,43
แกรนด์,14,4.74712E-05,0,2.66655E-06,14
แกล้ง,15,5.0636E-05,0,2.66655E-06,15
แก้ว,56,0.000180391,16,4.53313E-05,72
แกะ,23,7.59539E-05,0,2.66655E-06,23
โก,43,0.000139249,13,3.73316E-05,56
โก้,10,3.48122E-05,0,2.66655E-06,10
โก๋,16,5.38007E-05,0,2.66655E-06,16
โกโก้,14,4.74712E-05,0,2.66655E-06,14
โกง,14,4.74712E-05,72,0.000194658,86
โกรธ,19,6.32949E-05,20,5.59975E-05,39
โกลด์,0,3.16475E-06,31,8.53295E-05,31
โกหก,14,4.74712E-05,32,8.7996E-05,46
ใกล้เคียง,15,5.0636E-05,13,3.73316E-05,28
ใกล้ชิด,0,3.16475E-06,21,5.8664E-05,21
ไก่,34,0.000110766,10,2.9332E-05,44
ข,22,7.27892E-05,0,2.66655E-06,22
ข…,0,3.16475E-06,17,4.79978E-05,17
ขน,33,0.000107601,24,6.66636E-05,57
ขนม,80,0.000256345,0,2.66655E-06,80
ขนมหวาน,10,3.48122E-05,0,2.66655E-06,10
ขนย้าย,0,3.16475E-06,37,0.000101329,37
ขนส่ง,0,3.16475E-06,25,6.93302E-05,25
ขนาด,172,0.000547501,210,0.000562641,382
ขนาดเล็ก,0,3.16475E-06,26,7.19967E-05,26
ขนาดใหญ่,0,3.16475E-06,12,3.46651E-05,12
ขบวน,0,3.16475E-06,207,0.000554642,207
ขบวนการ,0,3.16475E-06,26,7.19967E-05,26
ข่มขืน,0,3.16475E-06,10,2.9332E-05,10
ขย่ม,17,5.69655E-05,0,2.66655E-06,17
ขยะ,0,3.16475E-06,36,9.86622E-05,36
ขยะสังคม,0,3.16475E-06,13,3.73316E-05,13
ขยัน,18,6.01302E-05,0,2.66655E-06,18
ขยับ,16,5.38007E-05,11,3.19985E-05,27
ขยาย,0,3.16475E-06,18,5.06644E-05,18
ขยายผล,0,3.16475E-06,19,5.33309E-05,19
ขยี้,0,3.16475E-06,14,3.99982E-05,14
ขวด,20,6.64597E-05,0,2.66655E-06,20
ขวบ,30,9.81072E-05,12,3.46651E-05,42
ขวัญ,16,5.38007E-05,51,0.00013866,67
ขวา,11,3.7977E-05,0,2.66655E-06,11
ข้อ,0,3.16475E-06,97,0.000261321,97
ข้อความ,24,7.91187E-05,20,5.59975E-05,44
ขอความร่วมมือ,0,3.16475E-06,12,3.46651E-05,12
ข้อคิด,15,5.0636E-05,0,2.66655E-06,15
ของกิน,10,3.48122E-05,0,2.66655E-06,10
ของขวัญ,57,0.000183555,25,6.93302E-05,82
ของจริง,16,5.38007E-05,0,2.66655E-06,16
ของแจก,24,7.91187E-05,0,2.66655E-06,24
ข้องใจ,0,3.16475E-06,10,2.9332E-05,10
ของดี,22,7.27892E-05,0,2.66655E-06,22
ของแถม,11,3.7977E-05,0,2.66655E-06,11
ของแท้,16,5.38007E-05,0,2.66655E-06,16
ข้อเท็จจริง,0,3.16475E-06,64,0.000173325,64
ขอโทษ,48,0.000155073,56,0.000151993,104
ขอนแก่น,276,0.000876635,48,0.000130661,324
ขอบ,63,0.000202544,0,2.66655E-06,63
ขอบคุณ,426,0.001351347,380,0.001015954,806
ขอบพระคุณ,15,5.0636E-05,0,2.66655E-06,15
ขอพร,16,5.38007E-05,0,2.66655E-06,16
ข้อมูล,19,6.32949E-05,203,0.000543975,222
ขอร้อง,16,5.38007E-05,0,2.66655E-06,16
ขอเวลา,0,3.16475E-06,15,4.26647E-05,15
ข้อเสนอ,0,3.16475E-06,17,4.79978E-05,17
ข้อหา,0,3.16475E-06,16,4.53313E-05,16
ขอให้,154,0.000490536,380,0.001015954,534
ขออนุญาต,16,5.38007E-05,11,3.19985E-05,27
ขออภัย,20,6.64597E-05,23,6.39971E-05,43
ขัดแย้ง,0,3.16475E-06,10,2.9332E-05,10
ขัตติย,0,3.16475E-06,10,2.9332E-05,10
ขั้นตอน,0,3.16475E-06,20,5.59975E-05,20
ขันธ์,10,3.48122E-05,0,2.66655E-06,10
ขับ,26,8.54482E-05,15,4.26647E-05,41
ขับเคลื่อน,0,3.16475E-06,18,5.06644E-05,18
ขับรถ,46,0.000148743,0,2.66655E-06,46
ขา,61,0.000196214,21,5.8664E-05,82
ข่า,10,3.48122E-05,0,2.66655E-06,10
ข้างนอก,15,5.0636E-05,0,2.66655E-06,15
ข้างใน,12,4.11417E-05,0,2.66655E-06,12
ข้างหน้า,13,4.43065E-05,0,2.66655E-06,13
ข้างหลัง,0,3.16475E-06,51,0.00013866,51
ขาดแคลน,0,3.16475E-06,15,4.26647E-05,15
ขาดดุล,0,3.16475E-06,10,2.9332E-05,10
ข้าพระพุทธเจ้า,11,3.7977E-05,0,2.66655E-06,11
ข้าม,36,0.000117096,26,7.19967E-05,62
ข้ามชาติ,0,3.16475E-06,14,3.99982E-05,14
ข้ามแดน,0,3.16475E-06,50,0.000135994,50
ขาย,397,0.001259569,73,0.000197324,470
ขายของ,26,8.54482E-05,0,2.66655E-06,26
ขายตัว,156,0.000496865,0,2.66655E-06,156
ขายบริการ,66,0.000212038,0,2.66655E-06,66
ข้าราชการ,0,3.16475E-06,32,8.7996E-05,32
ขาว,91,0.000291157,21,5.8664E-05,112
ข่าว,42,0.000136084,621,0.001658591,663
ข้าว,57,0.000183555,32,8.7996E-05,89
ข่าวดี,0,3.16475E-06,22,6.13306E-05,22
ข้าวต้ม,12,4.11417E-05,0,2.66655E-06,12
ข้าวเปลือก,0,3.16475E-06,10,2.9332E-05,10
ข่าวสาร,0,3.16475E-06,39,0.000106662,39
ข้าวสาร,10,3.48122E-05,0,2.66655E-06,10
ขำ,94,0.000300651,33,9.06626E-05,127
ขิม,24,7.91187E-05,0,2.66655E-06,24
ขี่,14,4.74712E-05,0,2.66655E-06,14
ขี้,84,0.000269004,16,4.53313E-05,100
ขี้เกียจ,24,7.91187E-05,0,2.66655E-06,24
ขี้ข้า,0,3.16475E-06,16,4.53313E-05,16
ขี้เหล็ก,0,3.16475E-06,17,4.79978E-05,17
ขึ้นไป,29,9.49424E-05,20,5.59975E-05,49
ขุด,0,3.16475E-06,23,6.39971E-05,23
ขุดเจาะ,0,3.16475E-06,185,0.000495978,185
ขุน,0,3.16475E-06,10,2.9332E-05,10
ขุ่น,10,3.48122E-05,0,2.66655E-06,10
ขู่,0,3.16475E-06,38,0.000103995,38
เข้,0,3.16475E-06,16,4.53313E-05,16
เข็ง,15,5.0636E-05,0,2.66655E-06,15
เขต,10,3.48122E-05,90,0.000242656,100
เขน,11,3.7977E-05,14,3.99982E-05,25
เข้ม,58,0.00018672,37,0.000101329,95
เข้มแข็ง,0,3.16475E-06,28,7.73298E-05,28
เข้มงวด,0,3.16475E-06,14,3.99982E-05,14
เขมร,0,3.16475E-06,10,2.9332E-05,10
เข้ากลุ่ม,10,3.48122E-05,0,2.66655E-06,10
เขาค้อ,15,5.0636E-05,0,2.66655E-06,15
เข้างาน,11,3.7977E-05,0,2.66655E-06,11
เข้าใจผิด,0,3.16475E-06,37,0.000101329,37
เข้าถึง,0,3.16475E-06,17,4.79978E-05,17
เข้าทาง,0,3.16475E-06,10,2.9332E-05,10
เข้าไป,60,0.00019305,82,0.000221323,142
เข้ามา,82,0.000262674,88,0.000237323,170
เข้าร่วม,10,3.48122E-05,42,0.000114661,52
เข้าเวร,0,3.16475E-06,37,0.000101329,37
เข้าสู่,0,3.16475E-06,12,3.46651E-05,12
เขาใหญ่,18,6.01302E-05,14,3.99982E-05,32
เขิน,78,0.000250015,0,2.66655E-06,78
เขิล,13,4.43065E-05,0,2.66655E-06,13
เขียม,0,3.16475E-06,12,3.46651E-05,12
เขียว,49,0.000158237,40,0.000109328,89
เขื่อน,11,3.7977E-05,0,2.66655E-06,11
แข่ง,14,4.74712E-05,0,2.66655E-06,14
แข็ง,21,6.96244E-05,17,4.79978E-05,38
แข็งแกร่ง,0,3.16475E-06,45,0.000122661,45
แข่งขัน,0,3.16475E-06,24,6.66636E-05,24
แข็งแรง,30,9.81072E-05,30,8.26629E-05,60
แขน,21,6.96244E-05,0,2.66655E-06,21
โขง,0,3.16475E-06,26,7.19967E-05,26
ไข,0,3.16475E-06,11,3.19985E-05,11
ไข่,26,8.54482E-05,0,2.66655E-06,26
ค์,17,5.69655E-05,10,2.9332E-05,27
ค,291,0.000924106,144,0.000386649,435
ค.,0,3.16475E-06,43,0.000117328,43
ค…,0,3.16475E-06,28,7.73298E-05,28
"ค…""",0,3.16475E-06,45,0.000122661,45
คค,14,4.74712E-05,0,2.66655E-06,14
คณะ,28,9.17777E-05,81,0.000218657,109
คณะกรรมการ,0,3.16475E-06,35,9.59956E-05,35
คณะทำงาน,0,3.16475E-06,12,3.46651E-05,12
คณา,10,3.48122E-05,0,2.66655E-06,10
คดี,17,5.69655E-05,214,0.000573307,231
คดีอาญา,0,3.16475E-06,13,3.73316E-05,13
คน,1690,0.005351588,1333,0.003557172,3023
คนเก่ง,42,0.000136084,0,2.66655E-06,42
คนจีน,0,3.16475E-06,13,3.73316E-05,13
คนเจ็บ,0,3.16475E-06,15,4.26647E-05,15
คนดี,43,0.000139249,65,0.000175992,108
คนเดียว,148,0.000471547,22,6.13306E-05,170
คนตาย,0,3.16475E-06,16,4.53313E-05,16
คนไทย,30,9.81072E-05,329,0.00087996,359
คนใน,28,9.17777E-05,47,0.000127994,75
ค้นพบ,0,3.16475E-06,13,3.73316E-05,13
คนฟัง,10,3.48122E-05,0,2.66655E-06,10
คนรวย,11,3.7977E-05,0,2.66655E-06,11
คนรัก,30,9.81072E-05,11,3.19985E-05,41
คนร้าย,0,3.16475E-06,118,0.000317319,118
คนรุ่นใหม่,0,3.16475E-06,32,8.7996E-05,32
คนเรา,26,8.54482E-05,62,0.000167992,88
คนละ,53,0.000170896,24,6.66636E-05,77
คนละไม้คนละมือ,0,3.16475E-06,10,2.9332E-05,10
คนสวย,22,7.27892E-05,0,2.66655E-06,22
ค้นหา,0,3.16475E-06,10,2.9332E-05,10
คนอื่น,91,0.000291157,95,0.000255988,186
คบ,32,0.000104437,0,2.66655E-06,32
คม,0,3.16475E-06,13,3.73316E-05,13
คมชัด,0,3.16475E-06,50,0.000135994,50
คมนาคม,0,3.16475E-06,19,5.33309E-05,19
ครม,0,3.16475E-06,11,3.19985E-05,11
ครม.,0,3.16475E-06,21,5.8664E-05,21
ครอง,0,3.16475E-06,10,2.9332E-05,10
ครอบครัว,63,0.000202544,363,0.000970623,426
ครอบจักรวาล,0,3.16475E-06,10,2.9332E-05,10
ครั้งแรก,30,9.81072E-05,31,8.53295E-05,61
ครั้งหน้า,12,4.11417E-05,0,2.66655E-06,12
ครับผม,91,0.000291157,13,3.73316E-05,104
ครัว,13,4.43065E-05,0,2.66655E-06,13
ครัวเรือน,0,3.16475E-06,11,3.19985E-05,11
คร่า,32,0.000104437,0,2.66655E-06,32
คราบ,14,4.74712E-05,0,2.66655E-06,14
คร้าบ,35,0.000113931,0,2.66655E-06,35
คริสต์มาส,15,5.0636E-05,0,2.66655E-06,15
ครีม,26,8.54482E-05,0,2.66655E-06,26
ครึ่ง,61,0.000196214,11,3.19985E-05,72
ครู,37,0.00012026,109,0.00029332,146
คลอ,15,5.0636E-05,10,2.9332E-05,25
คลอง,75,0.000240521,17,4.79978E-05,92
คลัง,0,3.16475E-06,81,0.000218657,81
คลั่ง,29,9.49424E-05,40,0.000109328,69
คลังแสง,0,3.16475E-06,10,2.9332E-05,10
คลาย,27,8.86129E-05,42,0.000114661,69
คลาส,13,4.43065E-05,0,2.66655E-06,13
คลิก,25,8.22834E-05,0,2.66655E-06,25
คลิป,304,0.000965248,72,0.000194658,376
คลี,22,7.27892E-05,14,3.99982E-05,36
คลี่คลาย,0,3.16475E-06,38,0.000103995,38
ควง,0,3.16475E-06,15,4.26647E-05,15
ควบคุม,0,3.16475E-06,125,0.000335985,125
ควย,215,0.000683585,22,6.13306E-05,237
ควรจะ,12,4.11417E-05,16,4.53313E-05,28
ควัน,0,3.16475E-06,29,7.99964E-05,29
ความกล้าหาญ,0,3.16475E-06,26,7.19967E-05,26
ความเข้าใจ,0,3.16475E-06,13,3.73316E-05,13
ความคิด,27,8.86129E-05,73,0.000197324,100
ความคืบหน้า,0,3.16475E-06,27,7.46633E-05,27
ความจริง,21,6.96244E-05,80,0.00021599,101
ความจำเป็น,0,3.16475E-06,27,7.46633E-05,27
ความเจริญ,0,3.16475E-06,14,3.99982E-05,14
ความช่วยเหลือ,0,3.16475E-06,12,3.46651E-05,12
ความชำนาญ,0,3.16475E-06,32,8.7996E-05,32
ความดี,18,6.01302E-05,73,0.000197324,91
ความเดือดร้อน,0,3.16475E-06,76,0.000205324,76
ความต้องการ,0,3.16475E-06,12,3.46651E-05,12
ความแตกแยก,0,3.16475E-06,23,6.39971E-05,23
ความทรงจำ,10,3.48122E-05,13,3.73316E-05,23
ความเท่าเทียม,0,3.16475E-06,14,3.99982E-05,14
ความน่ารัก,25,8.22834E-05,0,2.66655E-06,25
ความปลอดภัย,0,3.16475E-06,50,0.000135994,50
ความปลื้ม,0,3.16475E-06,11,3.19985E-05,11
ความเป็นธรรม,0,3.16475E-06,10,2.9332E-05,10
ความผิด,0,3.16475E-06,30,8.26629E-05,30
ความพร้อม,0,3.16475E-06,99,0.000266655,99
ความภูมิใจ,0,3.16475E-06,14,3.99982E-05,14
ความมั่นคง,0,3.16475E-06,60,0.000162659,60
ความยุติธรรม,0,3.16475E-06,13,3.73316E-05,13
ความร่วมมือ,0,3.16475E-06,30,8.26629E-05,30
ความรัก,108,0.000344957,43,0.000117328,151
ความรับผิดชอบ,0,3.16475E-06,25,6.93302E-05,25
ความรุนแรง,0,3.16475E-06,36,9.86622E-05,36
ความรู้,13,4.43065E-05,61,0.000165326,74
ความรู้สึก,83,0.000265839,36,9.86622E-05,119
ความลับ,10,3.48122E-05,16,4.53313E-05,26
ความวุ่นวาย,0,3.16475E-06,63,0.000170659,63
ความสงบ,0,3.16475E-06,26,7.19967E-05,26
ความสัมพันธ์,35,0.000113931,0,2.66655E-06,35
ความสามารถ,0,3.16475E-06,21,5.8664E-05,21
ความสำคัญ,0,3.16475E-06,32,8.7996E-05,32
ความสุข,85,0.000272168,48,0.000130661,133
ความสูญเสีย,0,3.16475E-06,33,9.06626E-05,33
ความเสี่ยง,0,3.16475E-06,12,3.46651E-05,12
ความเสียใจ,0,3.16475E-06,300,0.00080263,300
ความหมาย,0,3.16475E-06,11,3.19985E-05,11
ความห่วงใย,0,3.16475E-06,119,0.000319985,119
ความเห็น,0,3.16475E-06,11,3.19985E-05,11
ควาย,53,0.000170896,107,0.000287987,160
ควีน,0,3.16475E-06,14,3.99982E-05,14
คสช.,0,3.16475E-06,28,7.73298E-05,28
คอ,113,0.000360781,14,3.99982E-05,127
คอก,0,3.16475E-06,10,2.9332E-05,10
คอน,63,0.000202544,10,2.9332E-05,73
คอนโด,14,4.74712E-05,0,2.66655E-06,14
คอนเสิร์ต,20,6.64597E-05,0,2.66655E-06,20
คอบ,0,3.16475E-06,31,8.53295E-05,31
คอม,23,7.59539E-05,10,2.9332E-05,33
คอย,44,0.000142414,95,0.000255988,139
ค้ะ,16,5.38007E-05,0,2.66655E-06,16
ค๊ะ,0,3.16475E-06,14,3.99982E-05,14
คะแนน,25,8.22834E-05,30,8.26629E-05,55
คัด,0,3.16475E-06,94,0.000253322,94
คัดค้าน,0,3.16475E-06,59,0.000159993,59
คัน,33,0.000107601,21,5.8664E-05,54
คั่น,11,3.7977E-05,0,2.66655E-06,11
คับ,446,0.001414642,56,0.000151993,502
คับบ,13,4.43065E-05,0,2.66655E-06,13
คัพ,11,3.7977E-05,0,2.66655E-06,11
คัย,12,4.11417E-05,0,2.66655E-06,12
คา,39,0.00012659,11,3.19985E-05,50
ค่า,342,0.001085508,86,0.000231989,428
ค้า,29,9.49424E-05,0,2.66655E-06,29
คํา,10,3.48122E-05,0,2.66655E-06,10
ค้าง,16,5.38007E-05,0,2.66655E-06,16
ค้างคืน,11,3.7977E-05,0,2.66655E-06,11
ค่าเฉลี่ย,0,3.16475E-06,11,3.19985E-05,11
ค่าใช้จ่าย,17,5.69655E-05,0,2.66655E-06,17
คาด,11,3.7977E-05,30,8.26629E-05,41
คาดหวัง,18,6.01302E-05,0,2.66655E-06,18
ค้าน,0,3.16475E-06,13,3.73316E-05,13
ค้าบ,196,0.000623455,15,4.26647E-05,211
คาเฟ่,77,0.00024685,0,2.66655E-06,77
ค่าย,44,0.000142414,188,0.000503977,232
ค่ายทหาร,0,3.16475E-06,60,0.000162659,60
คำ่,0,3.16475E-06,10,2.9332E-05,10
ค่ำ,15,5.0636E-05,20,5.59975E-05,35
คำขวัญ,0,3.16475E-06,34,9.33291E-05,34
คำคม,12,4.11417E-05,0,2.66655E-06,12
คำตอบ,19,6.32949E-05,12,3.46651E-05,31
คำตัดสิน,0,3.16475E-06,20,5.59975E-05,20
คำถาม,13,4.43065E-05,12,3.46651E-05,25
คำนึง,0,3.16475E-06,15,4.26647E-05,15
คำนึงถึง,0,3.16475E-06,14,3.99982E-05,14
คำแนะนำ,0,3.16475E-06,65,0.000175992,65
คำบรรยาย,0,3.16475E-06,10,2.9332E-05,10
คำพูด,21,6.96244E-05,37,0.000101329,58
คำวินิจฉัย,0,3.16475E-06,36,9.86622E-05,36
คำสั่ง,0,3.16475E-06,32,8.7996E-05,32
คิดได้,11,3.7977E-05,21,5.8664E-05,32
คิดถึง,257,0.000816505,64,0.000173325,321
คิดมาก,14,4.74712E-05,0,2.66655E-06,14
คิดเห็น,0,3.16475E-06,11,3.19985E-05,11
คิว,71,0.000227862,16,4.53313E-05,87
คิ้ว,29,9.49424E-05,0,2.66655E-06,29
คึกคัก,0,3.16475E-06,13,3.73316E-05,13
คื…,0,3.16475E-06,16,4.53313E-05,16
คืน,74,0.000237356,55,0.000149327,129
คืนนี้,177,0.000563325,19,5.33309E-05,196
คืบหน้า,0,3.16475E-06,25,6.93302E-05,25
คุ,73,0.000234191,24,6.66636E-05,97
คุก,0,3.16475E-06,44,0.000119995,44
คุกคาม,0,3.16475E-06,11,3.19985E-05,11
คุณค่า,23,7.59539E-05,0,2.66655E-06,23
คุณพ่อ,31,0.000101272,0,2.66655E-06,31
คุณภาพ,23,7.59539E-05,35,9.59956E-05,58
คุณแม่,19,6.32949E-05,0,2.66655E-06,19
คุณยาย,15,5.0636E-05,0,2.66655E-06,15
คุม,27,8.86129E-05,30,8.26629E-05,57
คุ้ม,49,0.000158237,0,2.66655E-06,49
คุ้มครอง,0,3.16475E-06,15,4.26647E-05,15
